2021-09-12 15:26:16.408529 1920
2021-09-12 15:26:16.414513 1915
2021-09-12 15:26:16.420497 1915
2021-09-12 15:26:16.427478 1910
2021-09-12 15:26:16.433463 1895
2021-09-12 15:26:16.439446 1897
2021-09-12 15:26:16.445435 1921
2021-09-12 15:26:16.452428 1911
2021-09-12 15:26:16.458397 1913
2021-09-12 15:26:16.464381 1894
2021-09-12 15:26:16.470363 1920
2021-09-12 15:26:16.477345 1937
2021-09-12 15:26:16.483334 1914
2021-09-12 15:26:16.489313 1907
2021-09-12 15:26:16.495297 1910
2021-09-12 15:26:16.502284 1889
2021-09-12 15:26:16.508262 1904
2021-09-12 15:26:16.514247 1905
2021-09-12 15:26:16.521228 1910
2021-09-12 15:26:16.527212 1927
2021-09-12 15:26:16.533196 1927
2021-09-12 15:26:16.539180 1941
2021-09-12 15:26:16.546161 1950
2021-09-12 15:26:16.552149 1946
2021-09-12 15:26:16.558130 1957
2021-09-12 15:26:16.564117 1951
2021-09-12 15:26:16.571094 1983
2021-09-12 15:26:16.577080 1978
2021-09-12 15:26:16.583063 1967
2021-09-12 15:26:16.590044 1959
2021-09-12 15:26:16.596029 1973
2021-09-12 15:26:16.602012 1971
2021-09-12 15:26:16.607995 1950
2021-09-12 15:26:16.614977 1878
2021-09-12 15:26:16.620961 1881
2021-09-12 15:26:16.626949 1922
2021-09-12 15:26:16.632934 1875
2021-09-12 15:26:16.639910 1872
2021-09-12 15:26:16.645895 1904
2021-09-12 15:26:16.651881 1876
2021-09-12 15:26:16.658860 1879
2021-09-12 15:26:16.664843 1904
2021-09-12 15:26:16.670832 1898
2021-09-12 15:26:16.676813 1865
2021-09-12 15:26:16.682799 1846
2021-09-12 15:26:16.689802 1863
2021-09-12 15:26:16.695762 1873
2021-09-12 15:26:16.702002 1829
2021-09-12 15:26:16.708727 1802
2021-09-12 15:26:16.714714 1852
2021-09-12 15:26:16.720695 1872
2021-09-12 15:26:16.726678 1856
2021-09-12 15:26:16.733660 2037
2021-09-12 15:26:16.739675 2494
2021-09-12 15:26:16.745628 2671
2021-09-12 15:26:16.751612 2423
2021-09-12 15:26:16.758596 2218
2021-09-12 15:26:16.764580 2065
2021-09-12 15:26:16.770596 1840
2021-09-12 15:26:16.777543 1793
2021-09-12 15:26:16.783527 1815
2021-09-12 15:26:16.789572 1806
2021-09-12 15:26:16.796492 1828
2021-09-12 15:26:16.802475 1835
2021-09-12 15:26:16.808465 1843
2021-09-12 15:26:16.814449 1867
2021-09-12 15:26:16.820428 1856
2021-09-12 15:26:16.827409 1842
2021-09-12 15:26:16.833394 1840
2021-09-12 15:26:16.839377 1833
2021-09-12 15:26:16.845360 1861
2021-09-12 15:26:16.852342 1863
2021-09-12 15:26:16.858331 1878
2021-09-12 15:26:16.864310 1872
2021-09-12 15:26:16.870300 1850
2021-09-12 15:26:16.877275 1879
2021-09-12 15:26:16.883260 1870
2021-09-12 15:26:16.889243 1867
2021-09-12 15:26:16.896224 1885
2021-09-12 15:26:16.902209 1873
2021-09-12 15:26:16.908192 1873
2021-09-12 15:26:16.914180 1856
2021-09-12 15:26:16.921158 1834
2021-09-12 15:26:16.927146 1857
2021-09-12 15:26:16.933131 1847
